0	10p Deletion Syndrome (Partial)
0	Chromosome 10, Partial Deletion (short arm)
0	Monosomy 10p
0	Chromosome 10, monosomy 10p
0	Chromosome 10, 10p- Partial
1	13q deletion syndrome
1	Chromosome 13q deletion
1	Chromosome 13q deletion syndrome
1	Chromosome 13q monosomy
1	Chromosome 13q syndrome
1	Deletion 13q
1	Deletion 13q syndrome
1	Monosomy 13q
1	Monosomy 13q syndrome
1	Orbeli's syndrome
1	Orbeli syndrome
2	PSEUDOHERMAPHRODITISM, MALE, WITH GYNECOMASTIA POLYCYSTIC OVARIAN DISEASE DUE TO 17-KETOSTEROID REDUCTASE DEFICIENCY, INCLUDED
2	NEUTRAL 17-BETA-HYDROXYSTEROID OXIDOREDUCTASE DEFICIENCY
2	17-KETOSTEROID REDUCTASE DEFICIENCY OF TESTIS
2	17-KSR DEFICIENCY
2	17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY
3	17 alpha ketosteroid reductase deficiency of testis
3	17 Beta-hydroxysteroid dehydrogenase deficiency
3	Male pseudohermaphroditism with gynecomastia
3	Neutral 17 beta-hydroxysteroid oxidoreductase deficiency
3	17-Hydroxysteroid Dehydrogenase Deficiency
4	18-Hydroxylase deficiency
4	18-alpha hydroxylase deficiency
4	Aldosterone deficiency 1
4	Aldosterone deficiency due to defect in 18-hydroxylase
4	Corticosterone methyloxidase type 1 deficiency
5	Deletion 1p36.33
5	1p36.33 deletion
6	Syndrome, 22q11 Deletion
6	22q11 Deletion Syndrome
6	22q11 Deletion Syndromes
6	Deletion Syndrome, 22q11
6	Deletion Syndromes, 22q11
6	Syndromes, 22q11 Deletion
7	2-hydroxyethyl methacrylate sensitization
7	Sensitization to 2-hydroxyethyl methacrylate
8	Combined D-2- and L-2-hydroxyglutaric aciduria
8	D-2-hydroxyglutaric aciduria
8	2-Hydroxyglutaricaciduria
8	L-2-hydroxyglutaric aciduria
9	nan
9	2-Methylacetoacetyl CoA thiolase deficiency
10	2-METHYLBUTYRYL GLYCINURIA
10	SBCADD
10	2-METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY
10	SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY
11	Dandy-Walker-like malformation with atrioventricular septal defect
11	Craniocerebellocardiac dysplasia
11	Ritscher Schinzel syndrome
11	CCC dysplasia
11	3C syndrome
12	MITOCHONDRIAL HMG-CoA SYNTHASE DEFICIENCY
12	3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE 2 DEFICIENCY
12	HMGCS2 DEFICIENCY
13	HADH DEFICIENCY
13	3-hydroxyacyl-coa dehydrogenase deficiency
13	SCHAD DEFICIENCY, FORMERLY
14	nan
14	3-Hydroxyisobutyric aciduria
15	3 alpha methylcrotonyl-Coa carboxylase 1 deficiency
15	3 alpha methylcrotonylglycinuria 1
15	3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY
15	3 Methylcrotonyl-CoA carboxylase deficiency
15	3 Methylcrotonylglycinuria
15	3-METHYLCROTONYLGLYCINURIA I
15	MCC1 DEFICIENCY
15	methylcrotonoyl-CoA carboxylase 1 deficiency
15	METHYLCROTONYLGLYCINURIA TYPE I
15	3-methylcrotonyl CoA carboxylase 1 deficiency
15	MCCD TYPE 1
16	3 alpha methylcrotonyl-coa carboxylase 2 deficiency
16	3 alpha methylcrotonylglycinuria 2
16	3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY
16	3-METHYLCROTONYLGLYCINURIA II
16	MCC2 DEFICIENCY
16	methylcrotonoyl-CoA carboxylase 2 deficiency
16	Methylcrotonylglycinuria type 2
16	METHYLCROTONYLGLYCINURIA, TYPE II
16	3-methylcrotonyl CoA carboxylase 2 deficiency
17	3-METHYLGLUTACONYL-CoA HYDRATASE DEFICIENCY
17	MGA1
17	MGA, TYPE I
17	MGCA1
17	3-MG-CoA-HYDRATASE DEFICIENCY
17	3-METHYLGLUTACONIC ACIDURIA, TYPE I
18	DCMA
18	MGCA5
18	MGA, TYPE V
18	MGA5
18	3-METHYLGLUTACONIC ACIDURIA, TYPE V
18	CARDIOMYOPATHY, DILATED, WITH ATAXIA
19	Pseudohermaphroditisms, Female
19	Female Pseudohermaphroditisms
19	Female Pseudohermaphroditism
19	46,XX DSD
19	46, XX DSD
19	46,XX Disorders of Sex Development
19	Pseudohermaphroditism, Female
19	46, XX Disorders of Sex Development
20	46,XX Gonadal dysgenesis epibulbar dermoid
20	nan
21	46,XX GONADAL DYSGENESIS, COMPLETE, SRY-POSITIVE
21	46,XX SEX REVERSAL 1
21	SRXX1
21	OVOTESTICULAR DSD, INCLUDED
21	OVOTESTICULAR DISORDER OF SEX DEVELOPMENT, INCLUDED
21	XX MALE, SRY-POSITIVE 46,XX TRUE HERMAPHRODITISM, SRY-POSITIVE, INCLUDED
21	46,XX SEX REVERSAL, SRY-POSITIVE
22	46,XX SEX REVERSAL, PARTIAL OR COMPLETE, SOX9-RELATED
22	46,XX SEX REVERSAL 2
22	CHROMOSOME 17q24 DUPLICATION SYNDROME
22	SRXX2
23	CHROMOSOME Xq26 DUPLICATION SYNDROME
23	SRXX3
23	46,XX SEX REVERSAL, SOX3-RELATED CHROMOSOME Xq26 DELETION SYNDROME, INCLUDED
23	46,XX SEX REVERSAL 3
24	SERKAL SYNDROME
24	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS
24	SERKAL
25	46, XX Testicular Disorders of Sex Development
25	Sex Reversal, Gonadal, 46, XX
25	Gonadal Sex Reversal, 46, XX
25	46, XX Gonadal Sex Reversal
25	46, XX Testicular DSD
26	46,XY DSDs
26	46,XY DSD
26	46, XY DSD
26	46,XY Disorders of Sex Development
26	Male Pseudohermaphroditisms
26	46, XY Disorders of Sex Development
26	Male Pseudohermaphroditism
26	Pseudohermaphroditisms, Male
26	Pseudohermaphroditism, Male
26	DSD, 46,XY
26	DSDs, 46,XY
27	XY Female
27	46, XY female
28	nan
28	46,XY GONADAL DYSGENESIS, PARTIAL, WITH MINIFASCICULAR NEUROPATHY
29	46,XY SEX REVERSAL 1
29	46,XY GONADAL DYSGENESIS, COMPLETE, SRY-RELATED 46,XY TRUE HERMAPHRODITISM, SRY-RELATED, INCLUDED
29	46,XY SEX REVERSAL, SRY-RELATED
29	SEX-REVERSING LOCUS ON X, FORMERLY, INCLUDED;SRVX, FORMERLY, INCLUDED
29	SRXY1
29	TESTIS-DETERMINING FACTOR, X-CHROMOSOMAL, FORMERLY, INCLUDED;TDFX, FORMERLY, INCLUDED
30	46,XY SEX REVERSAL 3
30	SRXY3
30	SEX REVERSAL, XY, WITH OR WITHOUT ADRENAL FAILURE
30	DISORDER OF SEX DEVELOPMENT, 46,XY
30	46,XY GONADAL DYSGENESIS, COMPLETE OR PARTIAL, WITH OR WITHOUT ADRENAL FAILURE
30	46,XY SEX REVERSAL, PARTIAL OR COMPLETE, NR5A1-RELATED
31	46,XY SEX REVERSAL 5
31	SRXY5
31	46,XY GONADAL DYSGENESIS, COMPLETE, CBX2-RELATED
31	46,XY SEX REVERSAL, CBX2-RELATED
31	DISORDER OF SEX DEVELOPMENT, 46,XY, CBX2-RELATED
31	SEX REVERSAL, XY, CBX2-RELATED
32	YY syndrome
32	XYY syndrome
32	47, XYY syndrome
32	47 XYY syndrome
33	Pentasomy X
33	Chromosome X pentasomy
33	Chromosome XXXXX syndrome
33	49,XXXXX syndrome
33	Penta-X syndrome
33	Pentasomy X syndrome
34	4-hydroxyphenylacetic aciduria
34	nan
35	5 alpha Fluorouracil toxicity
35	nan
36	5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR
36	HTOR
37	5'-Nucleotidase syndrome
37	5-Nucleotidase syndrome
38	5-alpha-oxoprolinase deficiency
38	Oxoprolinuria due to 5-oxoprolinase deficiency
38	5-oxoprolinase deficiency
39	5q- syndrome
39	Refractory macrocytic anemia due to 5q deletion
39	MACROCYTIC ANEMIA, REFRACTORY, DUE TO 5q DELETION;MAR MEGAKARYOCYTES, UNILOBULAR NUCLEATED, INCLUDED
39	CHROMOSOME 5q DELETION SYNDROME
39	5q- SYNDROME
39	5q deletion syndrome
40	6-pyruvoyl-tetrahydropterin synthase deficiency
40	Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency
41	6q+ Syndrome, Partial
41	Chromosome 6, Trisomy 6q2
41	Trisomy 6q Syndrome, Partial
41	Trisomy 6q, Partial
41	Distal Duplication 6q
41	Chromosome 6, partial trisomy 6q
42	Chromosome 7, terminal 7p deletion (del 7p21-p22)
42	Chromosome 7, partial deletion of short arm (7p2-)
42	Chromosome 7, monosomy 7p2
42	7p2 monosomy syndrome
42	Chromosome 7, partial monosomy 7p
43	AAGENAES SYNDROME
43	Aagenaes syndrome
43	CHLS
43	Cholestasis lymphedema syndrome
43	CHOLESTASIS-LYMPHEDEMA SYNDROME
43	LYMPHEDEMA-CHOLESTASIS SYNDROME
43	Lymphedema - cholestasis syndrome
43	LCS1
43	LCS
44	Faciodigitogenital syndrome
44	AAS
44	AARSKOG SYNDROME, X-LINKED FACIOGENITAL DYSPLASIA WITH ATTENTION DEFICIT-HYPERACTIVITY DISORDER, INCLUDED
44	Aarskog-Scott syndrome
44	FGDY
44	Aarskog disease
44	Faciogenital dysplasia
44	MENTAL RETARDATION, X-LINKED, SYNDROMIC 16, INCLUDED
44	Scott Aarskog syndrome
44	MRXS16, INCLUDED
44	Aarskog syndrome
45	Aase Smith syndrome
45	Joint contractures with other abnormalities
45	Hydrocephalus cleft palate joint contractures
46	Hypoplastic anemia-triphalangeal thumbs, Aase-Smith type
46	Congenital anemia and triphalangeal thumbs
46	Aregenerative anemia, chronic congenital
46	Anemia congenital erythroid hypoplastic
46	Anemia and triphalangeal thumbs
46	Aase syndrome
46	Aase Smith syndrome 2
47	AAT deficiency
47	A1AT deficiency
48	ABCDS
48	Albinism, Black lock, Cell migration disorder of the neurocytes of the gut, and Deafness
48	ABCD syndrome
49	Abderhalden-Kaufmann-Lignac syndrome
49	Abderhalden-Lignac-Kaufmann disease
49	Abderhalden Kaufmann Lignac syndrome
50	Abdomen, Acute
50	Acute Abdomens
50	Acute Abdomen
50	Abdomens, Acute
51	Abdominal Abscess
51	Abdominal Abscesses
51	Intra-Abdominal Abscesses
51	Intra-Abdominal Abscess
51	Abscess, Intra-Abdominal
51	Abscess, Intra Abdominal
51	Abscesses, Intra-Abdominal
51	Abscesses, Abdominal
51	Abscess, Abdominal
52	Familial abdominal chemodectomas with cutaneous angiolipomas
52	Abdominal chemodectomas with cutaneous angiolipomas
